lat,lon,Time,o3_column,so2_column,SolarZenithAngle,ViewingZenithAngle,datetime
34.125,-96.375,1033506104.1103648,276.6,-0.08,53.949,59.111,2002-10-01 21:01:44.110364795
34.125,-96.125,1033506104.1103648,275.7,0.68,54.584,61.878,2002-10-01 21:01:44.110364795
34.125,-95.875,1033506104.1103648,275.7,0.68,54.584,61.878,2002-10-01 21:01:44.110364795
34.125,-95.625,1033506104.1103648,275.7,0.68,54.584,61.878,2002-10-01 21:01:44.110364795
34.125,-95.375,1033506104.1103648,275.7,0.68,54.584,61.878,2002-10-01 21:01:44.110364795
34.125,-95.125,1033506104.1103648,275.7,0.68,54.584,61.878,2002-10-01 21:01:44.110364795
34.125,-90.125,1033500224.996412,275.5,0.57,43.93,47.277,2002-10-01 19:23:44.996412039
34.125,-89.875,1033500224.996412,275.5,0.57,43.93,47.277,2002-10-01 19:23:44.996412039
34.125,-89.625,1033500224.996412,275.5,0.57,43.93,47.277,2002-10-01 19:23:44.996412039
34.125,-89.375,1033500218.995268,271.5,-0.25,44.039,44.913,2002-10-01 19:23:38.995267987
34.125,-89.125,1033500218.995268,271.5,-0.25,44.039,44.913,2002-10-01 19:23:38.995267987
34.125,-88.875,1033500218.995268,271.5,-0.25,44.039,44.913,2002-10-01 19:23:38.995267987
34.125,-88.125,1033500214.9945048,275.0,-0.14,44.78,38.016,2002-10-01 19:23:34.994504809
34.125,-87.875,1033500214.9945048,275.0,-0.14,44.78,38.016,2002-10-01 19:23:34.994504809
34.125,-87.625,1033500214.9945048,275.0,-0.14,44.78,38.016,2002-10-01 19:23:34.994504809
34.125,-86.875,1033500206.992994,282.6,0.93,45.226,31.333,2002-10-01 19:23:26.992993951
34.125,-86.625,1033500208.993376,283.6,-0.22,45.528,29.14,2002-10-01 19:23:28.993376017
34.125,-86.375,1033500206.992994,283.1,0.33,45.453,29.14,2002-10-01 19:23:26.992993951
34.125,-86.125,1033500204.992628,282.6,0.4,45.595,26.961,2002-10-01 19:23:24.992627978
34.125,-85.875,1033500202.992246,283.6,0.12,45.73,24.794,2002-10-01 19:23:22.992246032
34.125,-85.625,1033500204.992628,284.5,-0.16,46.006,22.638,2002-10-01 19:23:24.992627978
34.125,-85.375,1033500206.992994,285.1,0.54,46.276,20.492,2002-10-01 19:23:26.992993951
34.125,-85.125,1033500200.9918648,286.7,-0.39,46.053,20.492,2002-10-01 19:23:20.991864800
34.125,-84.875,1033500200.9918648,286.7,-0.39,46.053,20.492,2002-10-01 19:23:20.991864800
34.375,-122.875,1033512027.2329228,284.3,-0.19,53.568,56.453,2002-10-01 22:40:27.232922792
34.375,-122.625,1033512027.2329228,284.3,-0.19,53.568,56.453,2002-10-01 22:40:27.232922792
34.375,-122.375,1033512027.2329228,284.3,-0.19,53.568,56.453,2002-10-01 22:40:27.232922792
34.375,-122.125,1033512027.2329228,284.3,-0.19,53.568,56.453,2002-10-01 22:40:27.232922792
34.375,-121.875,1033512027.2329228,284.3,-0.19,53.568,56.453,2002-10-01 22:40:27.232922792
34.375,-121.625,1033512027.2329228,283.6,0.86,54.115,59.111,2002-10-01 22:40:27.232922792
34.375,-121.375,1033512027.2329228,283.6,0.86,54.115,59.111,2002-10-01 22:40:27.232922792
34.375,-121.125,1033512027.2329228,283.6,0.86,54.115,59.111,2002-10-01 22:40:27.232922792
34.375,-120.875,1033512027.2329228,283.6,0.86,54.115,59.111,2002-10-01 22:40:27.232922792
34.375,-120.625,1033512027.2329228,283.8,0.69,54.748,61.878,2002-10-01 22:40:27.232922792
